krs,status_code,error,name_discovery,source_codes
0000148035,204,not_found_or_deregistered,"""FORMAPLAN POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000148238,204,not_found_or_deregistered,"""ROSERAIE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000149608,204,not_found_or_deregistered,"""PEOPLENET"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000150986,204,not_found_or_deregistered,"""BOGRES"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000151085,204,not_found_or_deregistered,"""FATU"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000151542,204,not_found_or_deregistered,"""FARGOLAND"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000151662,204,not_found_or_deregistered,"""JURIMEX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000151793,204,not_found_or_deregistered,"""EUROMAX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000152814,204,not_found_or_deregistered,"""EXPRES"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000154361,204,not_found_or_deregistered,"""KOPART"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000155780,204,not_found_or_deregistered,"""INTER GROUP OF SCANDINAVIA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000155901,204,not_found_or_deregistered,"""JEDYNKA"" ZAKŁAD PRODUKCJI STOLARSKIEJ MICHAŁ SZYMCZAK I PAWEŁ SIANKIEWICZ - SPÓŁKA JAWNA",16.10.Z:main
0000156684,204,not_found_or_deregistered,"""HOLTENZA"" PRZEDSIĘBIORSTWO ZAGRANICZNE BUDOWLANE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000156781,204,not_found_or_deregistered,"""PRODUKCYJNO - HANDLOWE PRZEDSIĘBIORSTWO FARMACEUTYKÓW CURTIS - HEALTHCARE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000158899,204,not_found_or_deregistered,"""OPTA TIMBER"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000159463,204,not_found_or_deregistered,"""NASZ LAS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000161324,204,not_found_or_deregistered,"""PUCHALSKI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000162050,204,not_found_or_deregistered,"""DANPOL"" SPÓŁKA JAWNA DARIUSZ I KAZIMIERZ SIKORSCY",16.10.Z:main
0000162386,204,not_found_or_deregistered,"""PAPIER ŚWIECIE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000162677,204,not_found_or_deregistered,"""GRUPA M & W"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000164001,204,not_found_or_deregistered,"""SPRINT DENEKO - GROSICKI"" SPÓŁKA JAWNA",16.10.Z:main
0000164384,204,not_found_or_deregistered,"""HER-OW"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000164510,204,not_found_or_deregistered,"""MILFORD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000164753,204,not_found_or_deregistered,"""FATAMORGANA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000166813,204,not_found_or_deregistered,"""SAAP"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000167156,204,not_found_or_deregistered,"""CENTRUM DRZWI PRZESUWANYCH"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000168336,204,not_found_or_deregistered,"""ADAMOWSKI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000168806,204,not_found_or_deregistered,"""ERKURUM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000169784,204,not_found_or_deregistered,"""JASTA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000172184,204,not_found_or_deregistered,"""EKO-TANK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000172544,204,not_found_or_deregistered,"""LOOK FOR STAFF"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
