krs,status_code,error,name_discovery,source_codes
0000063184,204,not_found_or_deregistered,"ZESPÓŁ PRZEDSIĘBIORSTW BUDOWNICTWA ŁĄCZNOŚCI ""K - TEL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000064019,204,not_found_or_deregistered,"USŁUGOWY ZAKŁAD REMONTOWO-BUDOWLANY ""REM-BUD"" EDWARD ŻMUDZKI I ARKADIUSZ ŻMUDZKI SPÓŁKA JAWNA",16.10.Z:main
0000064416,204,not_found_or_deregistered,"""MARKET - S & T"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000064689,204,not_found_or_deregistered,ZAKŁAD PRODUKCYJNO-HANDLOWY HOL-POL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,16.10.Z:main
0000064708,204,not_found_or_deregistered,"""RWL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000065255,204,not_found_or_deregistered,"""MEDRE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000065593,204,not_found_or_deregistered,"GMINNA SPÓŁDZIELNIA ""SAMOPOMOC CHŁOPSKA"" W NOWEJ SUCHEJ",16.10.Z:main
0000065718,204,not_found_or_deregistered,"""AUTO ELEKTRONIK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000066566,204,not_found_or_deregistered,"PORTOWY ZAKŁAD TRANSPORTU ""TRANS-PORT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000066711,204,not_found_or_deregistered,"""TARGOR"" RUTKOWSCY SPÓŁKA JAWNA",16.10.Z:main
0000066862,204,not_found_or_deregistered,PRZEDSIĘBIORSTWO ROBÓT DROGOWYCH SPÓŁKA AKCYJNA,16.10.Z:main
0000067807,204,not_found_or_deregistered,"ODLEWNIA ŻELIWA ""FANSULD"" J. POSTUŁA, R. RUDZIŃSKI, R. POSTUŁA SPÓŁKA JAWNA",16.10.Z:main
0000067954,204,not_found_or_deregistered,"PRZEDSIĘBIORSTWO OBSŁUGI ROLNICTWA ""WARPOL - AGRO"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",16.10.Z:main
0000068006,204,not_found_or_deregistered,"ROLNICZA SPÓŁDZIELNIA PRODUKCYJNA ""ZWYCIĘSTWO"" W JASIENICY",16.10.Z:main
0000068008,204,not_found_or_deregistered,GABINET STOMATOLOGICZNY GRAŻYNA MAJKA I STANISŁAW MAJKA SPÓŁKA JAWNA,16.10.Z:main
0000068359,204,not_found_or_deregistered,"TARTAK ""STEFAN"" P. CIEŚLAK, J. CIEŚLAK SPÓŁKA JAWNA",16.10.Z:main
